timestamp,session_time,lap_count,lap_time,distance,speed_kmh,speed_ms,rpm,gear,throttle,brake,steering_angle,engine_temp,oil_temp,water_temp,tire_temp_fl,tire_temp_fr,tire_temp_rl,tire_temp_rr,brake_temp_fl,brake_temp_fr,brake_temp_rl,brake_temp_rr,oil_pressure,fuel_pressure,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,fuel_level,fuel_consumption_rate,latitude,longitude,altitude,accel_x,accel_y,accel_z,pitch,roll,battery_voltage,alternator_current,grip_efectivo,banking,width,pendiente_actual,fuerza_gravedad_pendiente,slip_ratio,track_point_index
2026-02-09T15:47:02.274684,0.1,0,0.0,0.839629348708861,30.23,8.4,900,1,1.0,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,0.839629,0.0,83.963,0.0,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.375506,0.2,0,0.0,1.985081761825346,41.24,11.45,2237.0799665681175,1,0.9087359403577324,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.145452,0.0,30.582,0.001,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.475962,0.30000000000000004,0,0.0,3.3458347082378364,48.99,13.61,3051.9045695346745,1,0.8754943029221213,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.360753,0.0,21.53,0.001,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.576892,0.4,0,0.0,4.8824849485204425,55.32,15.37,3625.544010043243,1,0.8520920710421207,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.53665,0.0,17.59,0.002,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.677786,0.5,0,0.0,6.570982919802566,60.79,16.88,4094.1987955095683,1,0.832972799969282,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.688498,0.0,15.185,0.002,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.778504,0.6,0,0.0,8.394557500761405,65.65,18.24,4498.776741135472,1,0.8164676118171605,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.823575,0.0,13.508,0.003,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.878772,0.7,0,0.0,10.34060579209521,70.06,19.46,4858.670279783674,1,0.8017853716349089,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,1.946048,0.0,12.247,0.003,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:02.979095,0.7999999999999999,0,0.0,12.39918715327871,74.11,20.59,5184.9850808711135,1,0.7884730118115427,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.058581,0.0,11.253,0.004,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:03.079751,0.8999999999999999,0,0.0,14.56218854861379,77.87,21.63,5484.814376410008,1,0.7762411563930979,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.163001,0.0,10.442,0.004,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
2026-02-09T15:47:03.180469,0.9999999999999999,0,0.0,16.822818002949255,81.38,22.61,5763.027574731473,1,0.7648911526809696,0.0,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,no calculado,100.0,no calculado,0.0,2.260629,0.0,9.763,0.004,0.0,no calculado,no calculado,no calculado,no calculado,,,,,,,0
