timestamp,session_time,lap_count,lap_time,distance,speed_kmh,speed_ms,rpm,gear,throttle,brake,steering_angle,engine_temp,oil_temp,water_temp,tire_temp_fl,tire_temp_fr,tire_temp_rl,tire_temp_rr,brake_temp_fl,brake_temp_fr,brake_temp_rl,brake_temp_rr,oil_pressure,fuel_pressure,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,fuel_level,fuel_consumption_rate,latitude,longitude,altitude,accel_x,accel_y,accel_z,pitch,roll,battery_voltage,alternator_current
2026-02-05T21:12:42.306979,2.384185791015625e-07,0,0.0,0.03888813131313132,1.4,0.39,832.0,1,100.0,15.0,-45.0,89.8,85.0,88.0,26.2,26.2,26.2,26.2,25.0,25.0,25.0,25.0,4.25,2.82,1.79,1.81,1.78,1.8,100.0,1.6,0.0,0.0,0.0,6.5,0.0,9.61,13.0,0.0,13.89,5.3
2026-02-05T21:12:42.407507,0.10047054290771484,0,0.0,0.11665816988299386,2.8,0.78,864.0,1,100.0,15.0,-45.0,89.7,85.0,88.0,27.4,27.4,27.4,27.4,25.0,25.0,25.0,25.0,4.06,2.83,1.81,1.81,1.8,1.82,100.0,1.66,0.0,0.0,0.0,6.5,0.0,9.46,13.0,0.0,13.76,5.5
2026-02-05T21:12:42.508311,0.20135188102722168,0,0.0,0.23330170875954115,4.2,1.17,896.0,1,100.0,15.0,-45.0,89.5,85.0,88.0,28.6,28.6,28.6,28.6,25.0,25.0,25.0,25.0,3.9,2.75,1.82,1.8,1.81,1.79,100.0,1.72,0.0,0.0,0.0,6.5,0.0,9.79,13.0,0.0,13.8,5.7
2026-02-05T21:12:42.608674,0.3016848564147949,0,0.0,0.38880815980361344,5.6,1.56,928.0,1,100.0,15.0,-45.0,89.4,84.9,88.0,29.8,29.8,29.8,29.8,25.0,25.0,25.0,25.0,3.78,2.77,1.83,1.79,1.79,1.8,100.0,1.78,0.0,0.0,0.0,6.5,0.0,10.21,13.0,0.0,13.75,6.0
2026-02-05T21:12:42.709570,0.4025716781616211,0,0.0,0.5831647558808866,7.0,1.94,961.0,1,99.9,15.0,-45.0,89.3,84.9,87.9,31.0,31.0,31.0,31.0,25.0,25.0,25.0,25.0,3.69,2.76,1.81,1.8,1.81,1.8,100.0,1.85,0.0,0.0,0.0,6.5,0.0,10.17,13.0,0.0,13.82,6.2
2026-02-05T21:12:42.810174,0.503180742263794,0,0.0,0.8163565535442556,8.39,2.33,993.0,1,99.9,15.0,-45.0,89.2,84.9,87.9,32.3,32.3,32.3,32.3,25.0,25.0,25.0,25.0,3.61,2.85,1.8,1.82,1.8,1.81,100.0,1.91,0.0,0.0,0.0,6.5,0.0,9.57,12.99,0.0,13.86,6.4
2026-02-05T21:12:42.910886,0.6039292812347412,0,0.0,1.0883664362034429,9.79,2.72,1025.0,1,99.9,15.0,-45.0,89.1,84.9,87.9,33.6,33.6,33.6,33.6,25.0,25.0,25.0,25.0,3.56,2.88,1.8,1.83,1.83,1.82,100.0,1.97,0.0,0.0,0.0,6.5,0.0,10.18,12.99,0.0,13.84,6.6
2026-02-05T21:12:43.011606,0.7046537399291992,0,0.0,1.3991751177803844,11.19,3.11,1057.0,1,99.9,15.0,-45.0,89.0,84.8,87.9,34.9,34.9,34.9,34.9,25.0,25.0,25.0,25.0,3.51,2.79,1.82,1.83,1.82,1.81,100.0,2.03,0.0,0.0,0.0,6.5,0.0,9.55,12.99,0.0,13.87,6.8
2026-02-05T21:12:43.112087,0.8050928115844727,0,0.0,1.7487611468487219,12.59,3.5,1089.0,1,99.9,15.0,-45.0,88.9,84.8,87.8,36.2,36.2,36.2,36.2,25.0,25.0,25.0,25.0,3.48,2.7,1.81,1.82,1.83,1.83,99.9,2.09,0.0,0.0,0.0,6.5,0.0,9.78,12.99,0.0,13.79,7.0
2026-02-05T21:12:43.212663,0.9055562019348145,0,0.0,2.137100911255496,13.98,3.88,1121.0,1,99.9,15.0,-45.0,88.8,84.7,87.8,37.5,37.5,37.5,37.5,25.0,25.0,25.0,25.0,3.46,2.72,1.83,1.82,1.82,1.84,99.9,2.15,0.0,0.0,0.0,6.49,0.0,10.13,12.99,0.0,13.87,7.2
